Publisher,Count
10TACLE Studios,1
1C Company,1
3DO,1
505 Games,3
ASCII Entertainment,1
Acclaim Entertainment,2
Ackkstudios,1
Acquire,1
Activision,22
Activision Value,1
Agetec,1
Alawar Entertainment,1
Angel Studios,1
Aqua Plus,2
ArtDink,3
Ascaron Entertainment,1
Ascaron Entertainment GmbH,2
Atari,17
Atlus,2
Banpresto,28
Bethesda Softworks,2
Black Bean Games,1
Blue Byte,1
Broccoli,3
CDV Software Entertainment,3
Capcom,3
Codemasters,4
Compile Heart,1
Crave Entertainment,2
CyberFront,2
D3Publisher,3
DTP Entertainment,1
Deep Silver,10
EON Digital Entertainment,1
Eidos Interactive,11
Electronic Arts,37
Elf,1
Essential Games,1
Flight-Plan,1
Focus Home Interactive,3
Funbox Media,1
Gamecock,1
Gathering of Developers,2
General Entertainment,1
Ghostlight,2
Glams,1
Global Star,1
Gust,1
Hudson Soft,1
Human Entertainment,1
Iceberg Interactive,2
Idea Factory,2
Ignition Entertainment,1
Infogrames,3
Interchannel-Holon,1
Irem Software Engineering,1
Jaleco,3
JoWood Productions,4
Kadokawa Shoten,1
Kalypso Media,16
Koch Media,1
Konami Digital Entertainment,28
Kool Kizz,1
LEGO Media,1
Level 5,1
LucasArts,10
Majesco Entertainment,2
Mamba Games,1
Mastertronic,1
Media Works,2
Microprose,4
Microsoft Game Studios,18
Midas Interactive Entertainment,3
Mindscape,3
Mumbo Jumbo,1
NCS,3
NEC Interchannel,1
Namco Bandai Games,61
Natsume,1
New World Computing,1
Nintendo,32
Nippon Ichi Software,2
Nordic Games,2
Paradox Interactive,13
Pinnacle,1
Playlogic Game Factory,2
PopCap Games,3
PopTop Software,1
Rising Star Games,4
SSI,1
Sega,35
Slitherine Software,4
Sony Computer Entertainment,12
Sony Online Entertainment,1
SouthPeak Games,1
Square Enix,9
SquareSoft,4
Storm City Games,1
Strategy First,1
Success,2
Sunflowers,1
System Soft,3
THQ,32
Takara Tomy,1
Take-Two Interactive,22
Team17 Software,1
Tecmo Koei,50
Telegames,1
Time Warner Interactive,1
Titus,1
Trion Worlds,1
Ubisoft,29
Unknown,7
Virgin Interactive,6
Vivendi Games,12
Warner Bros. Interactive Entertainment,2
Westwood Studios,1
Zoo Digital Publishing,1
Zushi Games,2
